Date,Price,Open,High,Low,Vol.,Change %
12/13/2006,61.37,60.97,61.85,60.74,215.43K,0.57%
12/12/2006,61.02,61.3,62.01,60.65,210.42K,-0.33%
12/11/2006,61.22,62.21,62.25,61.05,197.11K,-1.31%
12/8/2006,62.03,62.75,63.65,61.95,217.50K,-0.74%
12/7/2006,62.49,62.31,62.76,61.55,255.42K,0.48%
12/6/2006,62.19,62.42,63.01,61.84,221.14K,-0.38%
12/5/2006,62.43,62.42,63.25,61.53,227.43K,-0.02%
12/4/2006,62.44,63.81,63.82,61.9,162.01K,-1.56%
12/1/2006,63.43,62.85,63.7,62.24,176.60K,0.48%
11/30/2006,63.13,62.32,63.77,62.2,220.01K,1.07%
11/29/2006,62.46,60.99,62.54,60.95,215.40K,2.41%
11/28/2006,60.99,60.4,61.2,60.21,151.50K,1.11%
11/27/2006,60.32,59.89,60.44,59.26,143.84K,1.82%
11/24/2006,59.24,59.24,59.24,59.24,,0.00%
11/22/2006,59.24,60.05,60.35,58.35,172.82K,-1.55%
11/21/2006,60.17,58.96,60.4,58.61,145.38K,2.33%
11/20/2006,58.8,58.73,59.04,57.97,142.50K,5.36%
11/17/2006,55.81,56.25,56.48,54.86,45.67K,-0.80%
11/16/2006,56.26,58.77,59.32,55.92,177.34K,-4.25%
11/15/2006,58.76,58.45,59.4,58.3,188.95K,0.82%
11/14/2006,58.28,58.6,59.15,58.15,242.61K,-0.51%
11/13/2006,58.58,59.6,59.92,58.25,220.01K,-1.69%
11/10/2006,59.59,61.03,61.17,59.45,195.45K,-2.57%
11/9/2006,61.16,60,61.33,59.9,230.43K,2.22%
11/8/2006,59.83,59.16,60.3,58.88,242.87K,1.53%
11/7/2006,58.93,60.12,60.2,58.89,237.07K,-1.82%
11/6/2006,60.02,59.15,60.56,58.5,193.57K,1.49%
11/3/2006,59.14,57.86,59.35,57.77,169.66K,2.18%
11/2/2006,57.88,58.6,58.96,57.6,183.14K,-1.41%
11/1/2006,58.71,58.6,59.45,57.8,181.84K,-0.03%
10/31/2006,58.73,58.41,58.8,57.05,211.04K,0.63%
10/30/2006,58.36,60.75,61.05,58.22,168.40K,-3.93%
10/27/2006,60.75,60.3,61,59.85,149.48K,0.65%
10/26/2006,60.36,61.58,61.79,60.1,165.97K,-1.69%
10/25/2006,61.4,59.5,61.65,59.23,190.64K,3.45%
10/24/2006,59.35,58.89,59.7,58.42,132.91K,0.92%
10/23/2006,58.81,59.43,59.47,58.12,149.82K,3.50%
10/20/2006,56.82,58.61,59.4,56.55,44.43K,-2.87%
10/19/2006,58.5,57.72,58.95,57.45,104.80K,1.47%
10/18/2006,57.65,59.1,59.5,57.35,130.29K,-2.17%
10/17/2006,58.93,60.05,60.54,58.65,171.71K,-1.69%
10/16/2006,59.94,58.86,60.12,58.06,139.80K,2.34%
10/13/2006,58.57,58.34,59.46,58.06,127.40K,1.23%
10/12/2006,57.86,57.4,58.47,57.22,162.87K,0.47%
10/11/2006,57.59,58.52,59.1,57.37,180.44K,-1.59%
10/10/2006,58.52,59.95,60.68,58.4,170.23K,-2.40%
10/9/2006,59.96,59.9,61.3,59.78,156.18K,0.33%
10/6/2006,59.76,60.04,60.28,58.84,166.50K,-0.45%
10/5/2006,60.03,59.76,60.97,59.34,152.69K,1.04%
10/4/2006,59.41,58.5,59.78,57.75,178.94K,1.24%
10/3/2006,58.68,60.9,61.15,58.43,169.19K,-3.85%
10/2/2006,61.03,62.8,63.32,60.84,108.50K,-2.99%
9/29/2006,62.91,62.7,63.1,61.45,145.46K,0.24%
9/28/2006,62.76,62.99,64,62.39,150.19K,-0.32%
9/27/2006,62.96,61.14,63.1,60.1,148.25K,3.20%
9/26/2006,61.01,61.44,62,60.6,132.65K,-0.72%
9/25/2006,61.45,60.25,62.15,59.52,122.24K,1.49%
9/22/2006,60.55,61.71,62.26,60.19,122.45K,-1.69%
9/21/2006,61.59,60.81,61.8,60.65,105.73K,1.87%
9/20/2006,60.46,61.7,61.83,60,38.75K,-1.95%
9/19/2006,61.66,63.85,64.46,61.55,105.49K,-3.35%
9/18/2006,63.8,63.49,64.45,62.85,113.82K,0.74%
9/15/2006,63.33,63.45,63.66,62.03,137.55K,0.17%
9/14/2006,63.22,64.27,64.65,63,151.78K,-1.17%
9/13/2006,63.97,63.84,64.75,63.5,168.43K,0.33%
9/12/2006,63.76,65.59,66.44,63.59,150.65K,-2.82%
9/11/2006,65.61,66.01,66.5,64.85,140.70K,-0.97%
9/8/2006,66.25,67.2,67.6,66,120.86K,-1.59%
9/7/2006,67.32,67.55,67.98,66.76,98.58K,-0.27%
9/6/2006,67.5,68.65,68.85,67.45,112.10K,-1.60%
9/5/2006,68.6,69.25,69.59,67.77,78.92K,-0.85%
9/1/2006,69.19,70.29,70.66,69.01,53.47K,-1.52%
8/31/2006,70.26,70.45,70.82,69.35,89.59K,0.33%
8/30/2006,70.03,69.77,70.53,68.65,80.22K,0.46%
8/29/2006,69.71,70.46,70.9,69.3,81.67K,-1.27%
8/28/2006,70.61,72.2,72.2,70.15,75.58K,-2.62%
8/25/2006,72.51,72.8,73.75,72.38,77.21K,0.21%
8/24/2006,72.36,71.65,73,71.37,53.96K,0.84%
8/23/2006,71.76,72.85,72.94,71.1,89.38K,-1.20%
8/22/2006,72.63,72.45,72.85,72.1,34.59K,0.25%
8/21/2006,72.45,71.22,72.56,71.14,80.34K,1.84%
8/18/2006,71.14,70.48,71.19,69.6,71.42K,1.54%
8/17/2006,70.06,71.65,71.75,70,104.17K,-2.55%
8/16/2006,71.89,72.93,73.15,71.53,90.07K,-1.59%
8/15/2006,73.05,73.38,73.9,72.82,76.42K,-0.65%
8/14/2006,73.53,73.79,73.95,72.6,82.05K,-1.10%
8/11/2006,74.35,74,74.81,73.75,117.63K,0.47%
8/10/2006,74,76.25,76.52,73.9,142.30K,-3.08%
8/9/2006,76.35,76.33,77.4,76.05,137.25K,0.05%
8/8/2006,76.31,77.05,77.45,76.15,92.34K,-0.87%
8/7/2006,76.98,74.78,77.3,74.55,129.00K,2.97%
8/4/2006,74.76,75.6,75.68,74.15,76.39K,-0.93%
8/3/2006,75.46,76,76.19,74.65,85.48K,-0.46%
8/2/2006,75.81,74.92,76.5,74.9,92.49K,1.20%
8/1/2006,74.91,74.4,75.45,74.02,87.11K,0.69%
7/31/2006,74.4,73.5,74.48,72.77,100.53K,1.58%
7/28/2006,73.24,74.5,74.85,72.8,88.59K,-1.74%
7/27/2006,74.54,73.9,74.92,73.72,79.26K,0.81%
7/26/2006,73.94,73.8,74.8,73.52,82.01K,0.26%
7/25/2006,73.75,75.1,75.78,73.55,84.88K,-1.73%
7/24/2006,75.05,74.45,75.2,73.5,76.89K,0.83%
7/21/2006,74.43,74.07,75.2,73.9,78.12K,1.85%
7/20/2006,73.08,73,73.5,72.05,34.81K,0.58%
7/19/2006,72.66,73.9,74.11,71.65,101.69K,-1.20%
7/18/2006,73.54,75.2,76.55,73.5,90.99K,-2.34%
7/17/2006,75.3,76.91,77.74,75.2,120.24K,-2.25%
7/14/2006,77.03,76.67,78.4,76.67,122.62K,0.43%
7/13/2006,76.7,74.98,76.85,74.91,144.01K,2.33%
7/12/2006,74.95,74.03,75.05,73.8,122.02K,1.07%
7/11/2006,74.16,73.51,74.6,73.34,98.07K,0.75%
